SVN,Year,Month,Day,Hour,Minute,Second,X_m,Y_m,Z_m,U_m/s,V_m/s,W_m/s,UTC,x_moon,y_moon,z_moon,x_sun,y_sun,z_sun,MJD
46,2020,3,1,0,14,41.97,-26418941.36,2147698.415,3207980.585,-556.8745,-2155.61704,-3145.59644,2020-03-01 00:14:41.970,256539930.6351161,290984750.7009797,98606275.5876227,139816049071.06473,-45163004125.3607,-19578839475.07722,58909.0102079861
46,2020,3,1,0,29,41.97,-26694925.125,194931.04299999998,357764.446,-55.54098,-2177.7295799999997,-3179.25893,2020-03-01 00:29:41.970,255845026.73673162,291454905.24980986,98871910.0131383,139825379936.81064,-45139703054.20363,-19568737772.184673,58909.02062465277
46,2020,3,1,0,44,41.97,-26518587.360000003,-1761138.786,-2498512.6610000003,446.88415999999995,-2162.94191,-3159.04109,2020-03-01 00:44:41.970,255148823.005353,291923560.02210027,99137035.26440465,139834706171.47934,-45116400511.20323,-19558635429.523037,58909.03104131943
46,2020,3,1,0,59,41.97,-25892724.867000002,-3687353.052,-5312424.2700000005,942.0085499999999,-2111.4696400000003,-3085.23483,2020-03-01 00:59:41.970,254451322.57875833,292390712.2224116,99401649.85069925,139844027774.8359,-45093096497.17387,-19548532447.448742,58909.0414579861
46,2020,3,1,1,14,41.97,-24827652.149,-5551016.373000001,-8036199.047,1421.53993,-2024.1244,-2959.00287,2020-03-01 01:14:41.970,253752528.6020303,292856359.06021315,99665752.28266515,139853344746.64627,-45069791012.929886,-19538428826.318214,58909.05187465277
46,2020,3,1,1,29,41.97,-23341053.761,-7320428.909,-10623499.507000001,1877.4138899999998,-1902.30464,-2782.36564,2020-03-01 01:29:41.970,253052444.22755584,293320497.7498958,99929341.0723171,139862657086.67627,-45046484059.28568,-19528324566.487873,58909.06229131943
46,2020,3,1,1,44,41.97,-21457722.199,-8965407.304,-13030183.576,2301.92028,-1747.9783,-2558.17625,2020-03-01 01:44:41.970,252351072.61502546,293783125.510785,100192414.73304643,139871964794.6922,-45023175637.05551,-19518219668.314144,58909.0727079861
46,2020,3,1,1,59,41.97,-19209183.218999997,-10457786.311,-15215038.243999999,2687.8267299999998,-1563.6571900000001,-2290.08343,2020-03-01 01:59:41.970,251648416.9314321,294244239.56715256,100454971.77962711,139881267870.4603,-44999865747.05374,-19508114132.15343,58909.08312465277
46,2020,3,1,2,14,41.97,-16633211.759999998,-11771893.663,-17140474.415,3028.49796,-1352.3631,-1982.48239,2020-03-01 02:14:41.970,250944480.35107133,294703837.1482311,100717010.72822091,139890566313.74753,-44976554390.094604,-19498007958.362198,58909.09354131943
46,2020,3,1,2,29,41.97,-13773243.116,-12884990.708999999,-18773172.063,3318.0089900000003,-1117.58569,-1640.45353,2020-03-01 02:29:41.970,250239266.05553994,295161915.4882249,100978530.09638335,139899860124.32053,-44953241566.99239,-19487901147.29684,58909.1039579861
46,2020,3,1,2,44,41.97,-10677685.540000001,-13777671.452,-20084664.858,3551.25059,-863.23213,-1269.6892500000001,2020-03-01 02:44:41.970,249532777.23373586,295618471.8263248,101239528.40306872,139909149301.9466,-44929927278.56133,-19477793699.31378,58909.11437465277
46,2020,3,1,2,59,41.97,-7399142.152000001,-14434212.7,-21051853.650000002,3724.0251,-593.56892,-876.40916,2020-03-01 02:59:41.970,248825017.08185694,296073503.40671927,101500004.16863611,139918433846.39325,-44906611525.615654,-19467685614.769474,58909.12479131943
46,2020,3,1,3,14,41.97,-3993551.833,-14842868.401,-21657438.632000003,3833.13029,-313.15609,-467.26423,2020-03-01 03:14:41.970,248115988.80340058,296527007.4786085,101759955.91485494,139927713757.42816,-44883294308.96949,-19457576894.020294,58909.1352079861
46,2020,3,1,3,29,41.97,-519260.63999999996,-14996101.631,-21890260.607,3876.4295,-26.77457,-49.230830000000005,2020-03-01 03:29:41.970,247405695.60916346,296978981.29621774,102019382.16491058,139936989034.8191,-44859975629.43709,-19447467537.422684,58909.14562465277
46,2020,3,1,3,44,41.97,2963962.781,-14890748.33,-21745542.735,3852.90567,260.65265999999997,370.50424,2020-03-01 03:44:41.970,246694140.7172401,297429422.1188088,102278281.44340958,139946259678.33432,-44836655487.83256,-19437357545.33308,58909.15604131943
46,2020,3,1,3,59,41.97,6395952.472,-14528107.763,-21225025.325,3762.69733,544.14445,784.66614,2020-03-01 03:59:41.970,245981327.3530228,297878327.2106951,102536652.27638616,139955525687.7424,-44813333884.97,-19427246918.107887,58909.1664579861
46,2020,3,1,4,14,41.97,9717194.024,-13913955.674999999,-20336987.79,3607.11477,818.74904,1186.02004,2020-03-01 04:14:41.970,245267258.74920064,298325693.84125257,102794493.19130716,139964787062.81183,-44790010821.66355,-19417135656.103523,58909.17687465277
46,2020,3,1,4,29,41.97,12869878.367999999,-13058477.464,-19096153.779,3388.6346,1079.63403,1567.50229,2020-03-01 04:29:41.970,244551938.14575887,298771519.2849349,103051802.71707784,139974043803.31155,-44766686298.72724,-19407023759.67641,58909.18729131943
46,2020,3,1,4,44,41.97,15798940.619,-11976120.150999999,-17523477.662,3110.87179,1322.17653,1922.35235,2020-03-01 04:44:41.970,243835368.7899786,299215800.8212851,103308579.3840481,139983295909.01086,-44743360316.97519,-19396911229.182976,58909.1977079861
46,2020,3,1,4,59,41.97,18453063.231,-10685363.686999999,-15645813.099000001,2778.52829,1542.05189,2244.2425,2020-03-01 04:59:41.970,243117553.93643534,299658535.73495054,103564821.72401743,139992543379.6791,-44720032877.22135,-19386798064.97961,58909.20812465277
46,2020,3,1,5,14,41.97,20785622.463,-9208413.955,-13495467.081,2397.31846,1735.31865,2527.40205,2020-03-01 05:14:41.970,242398496.8469992,300099721.315694,103820528.27024128,140001786215.08588,-44696703980.279785,-19376684267.422768,58909.21854131943
46,2020,3,1,5,29,41.97,22755557.41,-7570821.815,-11109645.756,1973.8717800000002,1898.49755,2766.73306,2020-03-01 05:29:41.970,241678200.7908336,300539354.85840845,104075697.55743656,140011024415.0013,-44673373626.96445,-19366569836.868813,58909.2289579861
