SVN,Year,Month,Day,Hour,Minute,Second,X_m,Y_m,Z_m,U_m/s,V_m/s,W_m/s,UTC,x_moon,y_moon,z_moon,x_sun,y_sun,z_sun,MJD
46,2020,3,1,0,14,41.97,-13027578.813000001,6788658.455,21921749.703,-1863.0762300000001,-3424.9027,-14.07406,2020-03-01 00:14:41.970,256539930.6351161,290984750.7009797,98606275.5876227,139816049071.06473,-45163004125.3607,-19578839475.07722,58909.0102079861
46,2020,3,1,0,29,41.97,-14585306.075000001,3655769.069,21717010.496999998,-1593.60952,-3526.84493,-440.02971,2020-03-01 00:29:41.970,255845026.73673162,291454905.24980986,98871910.0131383,139825379936.81064,-45139703054.20363,-19568737772.184673,58909.02062465277
46,2020,3,1,0,44,41.97,-15887969.609,458916.97599999997,21132392.868,-1297.1361299999999,-3566.89414,-857.00507,2020-03-01 00:44:41.970,255148823.005353,291923560.02210027,99137035.26440465,139834706171.47934,-45116400511.20323,-19558635429.523037,58909.03104131943
46,2020,3,1,0,59,41.97,-16913667.441,-2745966.311,20179291.419,-979.0611700000001,-3544.73401,-1257.69323,2020-03-01 00:59:41.970,254451322.57875833,292390712.2224116,99401649.85069925,139844027774.8359,-45093096497.17387,-19548532447.448742,58909.0414579861
46,2020,3,1,1,14,41.97,-17645514.549,-5903172.998,18875512.164,-645.10914,-3461.17249,-1635.17465,2020-03-01 01:14:41.970,253752528.6020303,292856359.06021315,99665752.28266515,139853344746.64627,-45069791012.929886,-19538428826.318214,58909.05187465277
46,2020,3,1,1,29,41.97,-18071878.536,-8958212.688,17244869.053999998,-301.20892,-3318.0979,-1983.0364599999998,2020-03-01 01:29:41.970,253052444.22755584,293320497.7498958,99929341.0723171,139862657086.67627,-45046484059.28568,-19528324566.487873,58909.06229131943
46,2020,3,1,1,44,41.97,-18186512.256,-11858757.459,15316680.31,46.61979,-3118.41538,-2295.47562,2020-03-01 01:44:41.970,252351072.61502546,293783125.510785,100192414.73304643,139871964794.6922,-45023175637.05551,-19518219668.314144,58909.0727079861
46,2020,3,1,1,59,41.97,-17988585.936,-14555522.159,13125179.532,392.37586000000005,-2865.96699,-2567.3849999999998,2020-03-01 01:59:41.970,251648416.9314321,294244239.56715256,100454971.77962711,139881267870.4603,-44999865747.05374,-19508114132.15343,58909.08312465277
46,2020,3,1,2,14,41.97,-17482623.495,-17003066.694000002,10708857.217999998,730.1799100000001,-2565.4388400000003,-2794.4219399999997,2020-03-01 02:14:41.970,250944480.35107133,294703837.1482311,100717010.72822091,139890566313.74753,-44976554390.094604,-19498007958.362198,58909.09354131943
46,2020,3,1,2,29,41.97,-16678349.424,-19160510.058,8109748.341,1054.36969,-2222.25839,-2973.0596299999997,2020-03-01 02:29:41.970,250239266.05553994,295161915.4882249,100978530.09638335,139899860124.32053,-44953241566.99239,-19487901147.29684,58909.1039579861
46,2020,3,1,2,44,41.97,-15590453.754,-20992148.751000002,5372681.197,1359.58653,-1842.4850999999999,-3100.622,2020-03-01 02:44:41.970,249532777.23373586,295618471.8263248,101239528.40306872,139909149301.9466,-44929927278.56133,-19477793699.31378,58909.11437465277
46,2020,3,1,2,59,41.97,-14238283.498000002,-22467974.804,2544501.844,1640.85225,-1432.69716,-3175.30326,2020-03-01 02:59:41.970,248825017.08185694,296073503.40671927,101500004.16863611,139918433846.39325,-44906611525.615654,-19467685614.769474,58909.12479131943
46,2020,3,1,3,14,41.97,-12645469.26,-23564090.957,-326712.63499999995,1893.63631,-999.87657,-3196.17342,2020-03-01 03:14:41.970,248115988.80340058,296527007.4786085,101759955.91485494,139927713757.42816,-44883294308.96949,-19457576894.020294,58909.1352079861
46,2020,3,1,3,29,41.97,-10839495.854,-24263022.443,-3192440.1210000003,2113.9131199999997,-551.2945500000001,-3163.1713600000003,2020-03-01 03:29:41.970,247405695.60916346,296978981.29621774,102019382.16491058,139936989034.8191,-44859975629.43709,-19447467537.422684,58909.14562465277
46,2020,3,1,3,44,41.97,-8851225.525,-24553926.353,-6004488.117,2298.2101,-94.39875,-3077.08688,2020-03-01 03:44:41.970,246694140.7172401,297429422.1188088,102278281.44340958,139946259678.33432,-44836655487.83256,-19437357545.33308,58909.15604131943
46,2020,3,1,3,59,41.97,-6714382.018999999,-24432700.723,-8715747.805000002,2443.64674,363.29664,-2939.53302,2020-03-01 03:59:41.970,245981327.3530228,297878327.2106951,102536652.27638616,139955525687.7424,-44813333884.97,-19427246918.107887,58909.1664579861
46,2020,3,1,4,14,41.97,-4465003.253,-23901996.243,-11280919.438000001,2547.9654100000002,814.3173099999999,-2752.91026,2020-03-01 04:14:41.970,245267258.74920064,298325693.84125257,102794493.19130716,139964787062.81183,-44790010821.66355,-19417135656.103523,58909.17687465277
46,2020,3,1,4,29,41.97,-2140869.8,-22971134.001,-13657202.043,2609.55442,1251.33121,-2520.36322,2020-03-01 04:29:41.970,244551938.14575887,298771519.2849349,103051802.71707784,139974043803.31155,-44766686298.72724,-19407023759.67641,58909.18729131943
46,2020,3,1,4,44,41.97,219084.107,-21655932.894,-15804941.27,2627.46384,1667.24685,-2245.73097,2020-03-01 04:44:41.970,243835368.7899786,299215800.8212851,103308579.3840481,139983295909.01086,-44743360316.97519,-19396911229.182976,58909.1977079861
46,2020,3,1,4,59,41.97,2575370.798,-19978450.419,-17688229.834000003,2601.4147,2055.30752,-1933.4914999999999,2020-03-01 04:59:41.970,243117553.93643534,299658535.73495054,103564821.72401743,139992543379.6791,-44720032877.22135,-19386798064.97961,58909.20812465277
46,2020,3,1,5,14,41.97,4888554.665,-17966640.498,-19275455.406,2531.80159,2409.18145,-1588.70054,2020-03-01 05:14:41.970,242398496.8469992,300099721.315694,103820528.27024128,140001786215.08588,-44696703980.279785,-19376684267.422768,58909.21854131943
46,2020,3,1,5,29,41.97,7119857.217,-15653931.966,-20539791.017,2419.68903,2723.04797,-1216.9249399999999,2020-03-01 05:29:41.970,241678200.7908336,300539354.85840845,104075697.55743656,140011024415.0013,-44673373626.96445,-19366569836.868813,58909.2289579861
46,2020,3,1,5,44,41.97,9231755.93,-13078731.327,-21459623.049999997,2266.80131,2991.6796099999997,-824.17058,2020-03-01 05:44:41.970,240956669.04439476,300977433.66313034,104330328.12178741,140020257979.19547,-44650041818.0893,-19356454773.674202,58909.23937465277
46,2020,3,1,5,59,41.97,11188571.027,-10283853.511,-22018911.795,2075.50576,3210.5199199999997,-416.80460000000005,2020-03-01 05:59:41.970,240233904.89143088,301413955.03505254,104584418.50095099,140029486907.43875,-44626708554.46826,-19346339078.195328,58909.24979131943
46,2020,3,1,6,14,41.97,12957033.991,-7315884.696,-22207479.349,1848.7887999999998,3375.75654,-1.47164,2020-03-01 06:14:41.970,239509911.62298197,301848916.2845382,104837967.23406337,140038711199.5019,-44603373836.91527,-19336222750.788586,58909.2602079861
