SVN,Year,Month,Day,Hour,Minute,Second,X_m,Y_m,Z_m,U_m/s,V_m/s,W_m/s,UTC,x_moon,y_moon,z_moon,x_sun,y_sun,z_sun,MJD
46,2020,3,1,0,14,41.97,-9341614.992,-14411164.071999999,20366679.186,3619.51586,-758.83592,1113.09278,2020-03-01 00:14:41.970,256539930.6351161,290984750.7009797,98606275.5876227,139816049071.06473,-45163004125.3607,-19578839475.07722,58909.0102079861
46,2020,3,1,0,29,41.97,-6013667.677999999,-14969301.532,21191929.411000002,3765.41437,-479.66477000000003,718.13012,2020-03-01 00:29:41.970,255845026.73673162,291454905.24980986,98871910.0131383,139825379936.81064,-45139703054.20363,-19568737772.184673,58909.02062465277
46,2020,3,1,0,44,41.97,-2583123.059,-15272026.259,21655524.687000003,3847.16846,-192.05089,310.54625000000004,2020-03-01 00:44:41.970,255148823.005353,291923560.02210027,99137035.26440465,139834706171.47934,-45116400511.20323,-19558635429.523037,58909.03104131943
46,2020,3,1,0,59,41.97,891527.801,-15313916.863,21749190.306,3863.2665199999997,99.14787,-102.77461,2020-03-01 00:59:41.970,254451322.57875833,292390712.2224116,99401649.85069925,139844027774.8359,-45093096497.17387,-19548532447.448742,58909.0414579861
46,2020,3,1,1,14,41.97,4350922.784,-15093966.08,21470911.893,3813.28863,388.99332,-514.8234,2020-03-01 01:14:41.970,253752528.6020303,292856359.06021315,99665752.28266515,139853344746.64627,-45069791012.929886,-19538428826.318214,58909.05187465277
46,2020,3,1,1,29,41.97,7735819.987,-14615617.308999998,20824997.065,3697.9232500000003,672.54673,-918.5794000000001,2020-03-01 01:29:41.970,253052444.22755584,293320497.7498958,99929341.0723171,139862657086.67627,-45046484059.28568,-19528324566.487873,58909.06229131943
46,2020,3,1,1,44,41.97,10988096.453,-13886728.569,19822034.051,3518.967,944.95021,-1307.12582,2020-03-01 01:44:41.970,252351072.61502546,293783125.510785,100192414.73304643,139871964794.6922,-45023175637.05551,-19518219668.314144,58909.0727079861
46,2020,3,1,1,59,41.97,14051738.813,-12919462.912999999,18478745.768,3279.3067300000002,1201.50854,-1673.7662,2020-03-01 01:59:41.970,251648416.9314321,294244239.56715256,100454971.77962711,139881267870.4603,-44999865747.05374,-19508114132.15343,58909.08312465277
46,2020,3,1,2,14,41.97,16873809.62,-11730105.421,16817739.364,2982.88337,1437.77025,-2012.14,2020-03-01 02:14:41.970,250944480.35107133,294703837.1482311,100717010.72822091,139890566313.74753,-44976554390.094604,-19498007958.362198,58909.09354131943
46,2020,3,1,2,29,41.97,19405372.743,-10338808.055,14867152.890999999,2634.6371400000003,1649.60663,-2316.3353,2020-03-01 02:29:41.970,250239266.05553994,295161915.4882249,100978530.09638335,139899860124.32053,-44953241566.99239,-19487901147.29684,58909.1039579861
46,2020,3,1,2,44,41.97,21602361.046,-8769264.96,12660202.614,2240.43403,1833.2870599999999,-2580.99655,2020-03-01 02:44:41.970,249532777.23373586,295618471.8263248,101239528.40306872,139909149301.9466,-44929927278.56133,-19477793699.31378,58909.11437465277
46,2020,3,1,2,59,41.97,23426369.691,-7048322.1729999995,10234636.412,1806.97415,1985.54914,-2801.4250700000002,2020-03-01 02:59:41.970,248825017.08185694,296073503.40671927,101500004.16863611,139918433846.39325,-44906611525.615654,-19467685614.769474,58909.12479131943
46,2020,3,1,3,14,41.97,24845358.993,-5205527.135000001,7632100.808,1341.6825999999999,2103.66204,-2973.6701399999997,2020-03-01 03:14:41.970,248115988.80340058,296527007.4786085,101759955.91485494,139927713757.42816,-44883294308.96949,-19457576894.020294,58909.1352079861
46,2020,3,1,3,29,41.97,25834251.733000003,-3272624.898,4897431.221,852.58433,2185.4813700000004,-3094.6081400000003,2020-03-01 03:29:41.970,247405695.60916346,296978981.29621774,102019382.16491058,139936989034.8191,-44859975629.43709,-19447467537.422684,58909.14562465277
46,2020,3,1,3,44,41.97,26375411.316999998,-1283009.289,2077877.1,348.16485,2229.4941599999997,-3162.00777,2020-03-01 03:44:41.970,246694140.7172401,297429422.1188088,102278281.44340958,139946259678.33432,-44836655487.83256,-19437357545.33308,58909.15604131943
46,2020,3,1,3,59,41.97,26458989.154,728861.355,-777724.557,-162.78065,2234.8523999999998,-3174.57921,2020-03-01 03:59:41.970,245981327.3530228,297878327.2106951,102536652.27638616,139955525687.7424,-44813333884.97,-19427246918.107887,58909.1664579861
46,2020,3,1,4,14,41.97,26083132.05,2728073.139,-3619812.0979999998,-671.30697,2201.39417,-3132.00565,2020-03-01 04:14:41.970,245267258.74920064,298325693.84125257,102794493.19130716,139964787062.81183,-44790010821.66355,-19417135656.103523,58909.17687465277
46,2020,3,1,4,29,41.97,25254043.261,4679878.593,-6398982.05,-1168.4838399999999,2129.65136,-3034.95588,2020-03-01 04:29:41.970,244551938.14575887,298771519.2849349,103051802.71707784,139974043803.31155,-44766686298.72724,-19407023759.67641,58909.18729131943
46,2020,3,1,4,44,41.97,23985894.055,6550319.418,-9066874.489,-1645.5625499999999,2020.8436199999999,-2885.07727,2020-03-01 04:44:41.970,243835368.7899786,299215800.8212851,103308579.3840481,139983295909.01086,-44743360316.97519,-19396911229.182976,58909.1977079861
46,2020,3,1,4,59,41.97,22300585.995,8306837.450999999,-11577043.108,-2094.14038,1876.8582099999999,-2684.96881,2020-03-01 04:59:41.970,243117553.93643534,299658535.73495054,103564821.72401743,139992543379.6791,-44720032877.22135,-19386798064.97961,58909.20812465277
46,2020,3,1,5,14,41.97,20227367.689,9918861.373,-13885792.246000001,-2506.3189700000003,1700.2163500000001,-2438.13475,2020-03-01 05:14:41.970,242398496.8469992,300099721.315694,103820528.27024128,140001786215.08588,-44696703980.279785,-19376684267.422768,58909.21854131943
