SVN,Year,Month,Day,Hour,Minute,Second,X_m,Y_m,Z_m,U_m/s,V_m/s,W_m/s,UTC,x_moon,y_moon,z_moon,x_sun,y_sun,z_sun,MJD
46,2020,3,1,0,14,41.97,-25119110.653,-5428542.456,-7492226.702,1322.92465,-2000.3243,-3003.79339,2020-03-01 00:14:41.970,256539930.6351161,290984750.7009797,98606275.5876227,139816049071.06473,-45163004125.3607,-19578839475.07722,58909.0102079861
46,2020,3,1,0,29,41.97,-23720730.216,-7178171.339000001,-10125091.025,1780.2026799999999,-1882.29199,-2838.81589,2020-03-01 00:29:41.970,255845026.73673162,291454905.24980986,98871910.0131383,139825379936.81064,-45139703054.20363,-19568737772.184673,58909.02062465277
46,2020,3,1,0,44,41.97,-21923743.438,-8807178.747,-12587780.629999999,2207.50446,-1732.64518,-2626.1476199999997,2020-03-01 00:44:41.970,255148823.005353,291923560.02210027,99137035.26440465,139834706171.47934,-45116400511.20323,-19558635429.523037,58909.03104131943
46,2020,3,1,0,59,41.97,-19758325.941999998,-10288179.374,-14838888.116,2597.81279,-1553.83605,-2369.27378,2020-03-01 00:59:41.970,254451322.57875833,292390712.2224116,99401649.85069925,139844027774.8359,-45093096497.17387,-19548532447.448742,58909.0414579861
46,2020,3,1,1,14,41.97,-17260718.719,-11596203.93,-16840459.384000003,2944.68227,-1348.7752099999998,-2072.37439,2020-03-01 01:14:41.970,253752528.6020303,292856359.06021315,99665752.28266515,139853344746.64627,-45069791012.929886,-19538428826.318214,58909.05187465277
46,2020,3,1,1,29,41.97,-14472671.263,-12709094.343999999,-18558594.081,3242.33214,-1120.79219,-1740.2676999999999,2020-03-01 01:29:41.970,253052444.22755584,293320497.7498958,99929341.0723171,139862657086.67627,-45046484059.28568,-19528324566.487873,58909.06229131943
46,2020,3,1,1,44,41.97,-11440803.929,-13607861.181,-19963991.720999997,3485.73288,-873.59105,-1378.3460499999999,2020-03-01 01:44:41.970,252351072.61502546,293783125.510785,100192414.73304643,139871964794.6922,-45023175637.05551,-19518219668.314144,58909.0727079861
46,2020,3,1,1,59,41.97,-8215895.432999999,-14276998.78,-21032436.627,3670.68589,-611.20078,-992.50406,2020-03-01 01:59:41.970,251648416.9314321,294244239.56715256,100454971.77962711,139881267870.4603,-44999865747.05374,-19508114132.15343,58909.08312465277
46,2020,3,1,2,14,41.97,-4852102.058,-14704753.578,-21745214.818,3793.89536,-337.92087,-589.0592399999999,2020-03-01 02:14:41.970,250944480.35107133,294703837.1482311,100717010.72822091,139890566313.74753,-44976554390.094604,-19498007958.362198,58909.09354131943
46,2020,3,1,2,29,41.97,-1406115.998,-14883341.095,-22089455.949,3853.03146,-58.261689999999994,-174.66478999999998,2020-03-01 02:29:41.970,250239266.05553994,295161915.4882249,100978530.09638335,139899860124.32053,-44953241566.99239,-19487901147.29684,58909.1039579861
46,2020,3,1,2,44,41.97,2063728.6680000003,-14809107.105999999,-22058393.428,3846.78329,223.11993999999999,243.78502,2020-03-01 02:44:41.970,249532777.23373586,295618471.8263248,101239528.40306872,139909149301.9466,-44929927278.56133,-19477793699.31378,58909.11437465277
46,2020,3,1,2,59,41.97,5498392.551,-14482628.631,-21651536.005000003,3774.9002100000002,501.48999000000003,659.25682,2020-03-01 02:59:41.970,248825017.08185694,296073503.40671927,101500004.16863611,139918433846.39325,-44906611525.615654,-19467685614.769474,58909.12479131943
46,2020,3,1,3,14,41.97,8839098.747,-13908750.658000002,-20874744.514999997,3638.21956,772.1107000000001,1064.68687,2020-03-01 03:14:41.970,248115988.80340058,296527007.4786085,101759955.91485494,139927713757.42816,-44883294308.96949,-19457576894.020294,58909.1352079861
46,2020,3,1,3,29,41.97,12028318.846,-13096554.997,-19740208.072,3438.67911,1030.31778,1453.0955800000002,2020-03-01 03:29:41.970,247405695.60916346,296978981.29621774,102019382.16491058,139936989034.8191,-44859975629.43709,-19447467537.422684,58909.14562465277
46,2020,3,1,3,44,41.97,15010762.415,-12059258.326,-18266315.057,3179.312,1271.6004400000002,1817.70652,2020-03-01 03:44:41.970,246694140.7172401,297429422.1188088,102278281.44340958,139946259678.33432,-44836655487.83256,-19437357545.33308,58909.15604131943
46,2020,3,1,3,59,41.97,17734353.483,-10814037.473000001,-16477415.583000002,2864.22262,1491.68278,2152.06823,2020-03-01 03:59:41.970,245981327.3530228,297878327.2106951,102536652.27638616,139955525687.7424,-44813333884.97,-19427246918.107887,58909.1664579861
46,2020,3,1,4,14,41.97,20151176.033,-9381781.216,-14403473.985000001,2498.54163,1686.60538,2450.17641,2020-03-01 04:14:41.970,245267258.74920064,298325693.84125257,102794493.19130716,139964787062.81183,-44790010821.66355,-19417135656.103523,58909.17687465277
46,2020,3,1,4,29,41.97,22218369.226999998,-7786769.427999999,-12079612.081,2088.35909,1852.80493,2706.59392,2020-03-01 04:29:41.970,244551938.14575887,298771519.2849349,103051802.71707784,139974043803.31155,-44766686298.72724,-19407023759.67641,58909.18729131943
46,2020,3,1,4,44,41.97,23898952.36,-6056282.129,-9545546.626,1640.63513,1987.18992,2916.56542,2020-03-01 04:44:41.970,243835368.7899786,299215800.8212851,103308579.3840481,139983295909.01086,-44743360316.97519,-19396911229.182976,58909.1977079861
46,2020,3,1,4,59,41.97,25162559.345000003,-4220143.0540000005,-6844927.281,1163.0883800000001,2087.21009,3076.12318,2020-03-01 04:59:41.970,243117553.93643534,299658535.73495054,103564821.72401743,139992543379.6791,-44720032877.22135,-19386798064.97961,58909.20812465277
46,2020,3,1,5,14,41.97,25986063.161,-2310204.381,-4024584.599,664.06323,2150.91734,3182.18066,2020-03-01 05:14:41.970,242398496.8469992,300099721.315694,103820528.27024128,140001786215.08588,-44696703980.279785,-19376684267.422768,58909.21854131943
46,2020,3,1,5,29,41.97,26354072.115,-359781.429,-1133700.666,152.37818000000001,2177.01566,3232.6102300000002,2020-03-01 05:29:41.970,241678200.7908336,300539354.85840845,104075697.55743656,140011024415.0013,-44673373626.96445,-19366569836.868813,58909.2289579861
46,2020,3,1,5,44,41.97,26259282.101,1596951.8869999999,1777081.879,-362.84191999999996,2164.89803,3226.30191,2020-03-01 05:44:41.970,240956669.04439476,300977433.66313034,104330328.12178741,140020257979.19547,-44650041818.0893,-19356454773.674202,58909.23937465277
46,2020,3,1,5,59,41.97,25702672.207,3525594.275,4656594.067,-872.34554,2114.6685500000003,3163.20027,2020-03-01 05:59:41.970,240233904.89143088,301413955.03505254,104584418.50095099,140029486907.43875,-44626708554.46826,-19346339078.195328,58909.24979131943
46,2020,3,1,6,14,41.97,24693534.979,5392160.990999999,7454097.461,-1366.9413299999999,2027.1483899999998,3044.31759,2020-03-01 06:14:41.970,239509911.62298197,301848916.2845382,104837967.23406337,140038711199.5019,-44603373836.91527,-19336222750.788586,58909.2602079861
46,2020,3,1,6,29,41.97,23249337.202,7163725.555,10120241.602,-1837.6870000000001,1903.86485,2871.72188,2020-03-01 06:29:41.970,238784692.5373781,302282314.72713363,105090972.86174543,140047930855.1558,-44580037666.24417,-19326105791.810417,58909.27062465277
46,2020,3,1,6,44,41.97,21395411.98,8809044.024999999,12607999.316,-2276.0743899999998,1747.0235400000001,2648.49971,2020-03-01 06:44:41.970,238058250.94023985,302714147.6835825,105343433.92610839,140057145874.17157,-44556700043.26881,-19315988201.6172,58909.28104131943
