SVN,Year,Month,Day,Hour,Minute,Second,X_m,Y_m,Z_m,U_m/s,V_m/s,W_m/s,UTC,x_moon,y_moon,z_moon,x_sun,y_sun,z_sun,MJD
46,2020,3,1,0,14,41.97,13956005.213,-22405755.468,569575.294,1832.68191,1255.07749,3202.00496,2020-03-01 00:14:41.970,256539930.6351161,290984750.7009797,98606275.5876227,139816049071.06473,-45163004125.3607,-19578839475.07722,58909.0102079861
46,2020,3,1,0,29,41.97,15478245.808,-21083065.136,3437953.535,1544.9958800000002,1680.11608,3162.81621,2020-03-01 00:29:41.970,255845026.73673162,291454905.24980986,98871910.0131383,139825379936.81064,-45139703054.20363,-19568737772.184673,58909.02062465277
46,2020,3,1,0,44,41.97,16728631.609,-19390102.486,6245918.12,1229.4416399999998,2076.6501599999997,3067.90802,2020-03-01 00:44:41.970,255148823.005353,291923560.02210027,99137035.26440465,139834706171.47934,-45116400511.20323,-19558635429.523037,58909.03104131943
46,2020,3,1,0,59,41.97,17684542.596,-17355833.005,8943899.237,891.57579,2437.41101,2918.73873,2020-03-01 00:59:41.970,254451322.57875833,292390712.2224116,99401649.85069925,139844027774.8359,-45093096497.17387,-19548532447.448742,58909.0414579861
46,2020,3,1,1,14,41.97,18328577.926000003,-15015497.787,11484108.055,537.42124,2755.74698,2717.80361,2020-03-01 01:14:41.970,253752528.6020303,292856359.06021315,99665752.28266515,139853344746.64627,-45069791012.929886,-19538428826.318214,58909.05187465277
46,2020,3,1,1,29,41.97,18648923.284,-12409991.327,13821455.041,173.34884,3025.76988,2468.59749,2020-03-01 01:29:41.970,253052444.22755584,293320497.7498958,99929341.0723171,139862657086.67627,-45046484059.28568,-19528324566.487873,58909.06229131943
46,2020,3,1,1,44,41.97,18639606.459,-9585114.165000001,15914423.229,-194.0521,3242.48585,2175.5521,2020-03-01 01:44:41.970,252351072.61502546,293783125.510785,100192414.73304643,139871964794.6922,-45023175637.05551,-19518219668.314144,58909.0727079861
46,2020,3,1,1,59,41.97,18300632.847,-6590716.397999999,17725874.228,-558.1105200000001,3401.90634,1843.94955,2020-03-01 01:59:41.970,251648416.9314321,294244239.56715256,100454971.77962711,139881267870.4603,-44999865747.05374,-19508114132.15343,58909.08312465277
46,2020,3,1,2,14,41.97,17637996.129,-3479751.822,19223766.362999998,-912.21352,3501.13515,1479.81407,2020-03-01 02:14:41.970,250944480.35107133,294703837.1482311,100717010.72822091,139890566313.74753,-44976554390.094604,-19498007958.362198,58909.09354131943
46,2020,3,1,2,29,41.97,16663563.22,-307265.527,20381766.821000002,-1249.9451900000001,3538.4289,1089.78533,2020-03-01 02:29:41.970,250239266.05553994,295161915.4882249,100978530.09638335,139899860124.32053,-44953241566.99239,-19487901147.29684,58909.1039579861
46,2020,3,1,2,44,41.97,15394836.439000001,2870660.1799999997,21179742.900000002,-1565.2198799999999,3513.2289499999997,680.9771900000001,2020-03-01 02:44:41.970,249532777.23373586,295618471.8263248,101239528.40306872,139909149301.9466,-44929927278.56133,-19477793699.31378,58909.11437465277
