SVN,Year,Month,Day,Hour,Minute,Second,X_m,Y_m,Z_m,U_m/s,V_m/s,W_m/s,UTC,x_moon,y_moon,z_moon,x_sun,y_sun,z_sun,MJD
46,2020,3,1,0,14,41.97,-10134768.431,-12815078.296,-20931828.586,2306.64624,-3020.40141,755.27486,2020-03-01 00:14:41.970,256539930.6351161,290984750.7009797,98606275.5876227,139816049071.06473,-45163004125.3607,-19578839475.07722,58909.0102079861
46,2020,3,1,0,29,41.97,-7977455.283,-15415242.397,-20073699.436,2480.5401800000004,-2749.3453200000004,1149.05645,2020-03-01 00:29:41.970,255845026.73673162,291454905.24980986,98871910.0131383,139825379936.81064,-45139703054.20363,-19568737772.184673,58909.02062465277
46,2020,3,1,0,44,41.97,-5682555.179,-17749502.471,-18869265.843000002,2611.92787,-2430.32693,1523.71791,2020-03-01 00:44:41.970,255148823.005353,291923560.02210027,99137035.26440465,139834706171.47934,-45116400511.20323,-19558635429.523037,58909.03104131943
46,2020,3,1,0,59,41.97,-3289474.669,-19777042.667999998,-17338718.408,2698.37617,-2068.70746,1872.68882,2020-03-01 00:59:41.970,254451322.57875833,292390712.2224116,99401649.85069925,139844027774.8359,-45093096497.17387,-19548532447.448742,58909.0414579861
46,2020,3,1,1,14,41.97,-839466.507,-21462232.993,-15507988.278,2738.2235,-1670.63457,2189.80276,2020-03-01 01:14:41.970,253752528.6020303,292856359.06021315,99665752.28266515,139853344746.64627,-45069791012.929886,-19538428826.318214,58909.05187465277
46,2020,3,1,1,29,41.97,1625084.1989999998,-22775293.417,-13408330.47,2730.62074,-1242.94249,2469.41436,2020-03-01 01:29:41.970,253052444.22755584,293320497.7498958,99929341.0723171,139862657086.67627,-45046484059.28568,-19528324566.487873,58909.06229131943
46,2020,3,1,1,44,41.97,4061404.201,-23692860.772,-11075804.689000001,2675.55759,-793.03612,2706.5095499999998,2020-03-01 01:44:41.970,252351072.61502546,293783125.510785,100192414.73304643,139871964794.6922,-45023175637.05551,-19518219668.314144,58909.0727079861
46,2020,3,1,1,59,41.97,6427092.995,-24198444.796,-8550661.074,2573.87303,-328.76094,2896.8061500000003,2020-03-01 01:59:41.970,251648416.9314321,294244239.56715256,100454971.77962711,139881267870.4603,-44999865747.05374,-19508114132.15343,58909.08312465277
46,2020,3,1,2,14,41.97,8680885.575000001,-24282761.553,-5876640.806000001,2427.2489,141.73899,3036.84197,2020-03-01 02:14:41.970,250944480.35107133,294703837.1482311,100717010.72822091,139890566313.74753,-44976554390.094604,-19498007958.362198,58909.09354131943
46,2020,3,1,2,29,41.97,10783401.626999998,-23943934.795,-3100203.975,2238.18613,610.17193,3124.04799,2020-03-01 02:29:41.970,250239266.05553994,295161915.4882249,100978530.09638335,139899860124.32053,-44953241566.99239,-19487901147.29684,58909.1039579861
46,2020,3,1,2,44,41.97,12697865.437,-23187558.704,-269699.28599999996,2009.9635,1068.25503,3156.80406,2020-03-01 02:44:41.970,249532777.23373586,295618471.8263248,101239528.40306872,139909149301.9466,-44929927278.56133,-19477793699.31378,58909.11437465277
46,2020,3,1,2,59,41.97,14390781.038999999,-22026618.601,2565507.912,1746.5795099999998,1507.87274,3134.47553,2020-03-01 02:59:41.970,248825017.08185694,296073503.40671927,101500004.16863611,139918433846.39325,-44906611525.615654,-19467685614.769474,58909.12479131943
46,2020,3,1,3,14,41.97,15832547.872,-20481269.692,5355931.367000001,1452.67856,1921.23321,3057.4293,2020-03-01 03:14:41.970,248115988.80340058,296527007.4786085,101759955.91485494,139927713757.42816,-44883294308.96949,-19457576894.020294,58909.1352079861
